config_id,fold,method,ticker,selected_downstream,weight
C1_IV_X,51,AUR,BWE,True,0.3
C1_IV_X,51,AUR,DCL,False,0.0
C1_IV_X,51,AUR,DCM,True,0.17254349041588157
C1_IV_X,51,AUR,PAN,False,0.0
C1_IV_X,51,AUR,STB,False,0.0
C1_IV_X,51,AUR,VCB,True,0.2776950243082865
C1_IV_X,51,AUR,VPI,True,0.24976148527583208
C1_IV_X,51,AUR,VPL,False,0.0
C1_IV_X,51,QAUR,BWE,True,0.3
C1_IV_X,51,QAUR,DCL,False,0.0
C1_IV_X,51,QAUR,DCM,True,0.17254349041588157
C1_IV_X,51,QAUR,PAN,False,0.0
C1_IV_X,51,QAUR,STB,False,0.0
C1_IV_X,51,QAUR,VCB,True,0.2776950243082865
C1_IV_X,51,QAUR,VPI,True,0.24976148527583208
C1_IV_X,51,QAUR,VPL,False,0.0
