config_id,market_gate_lookback,worst_return,worst_sharpe,mean_sharpe,worst_drawdown,positive_cells,total_cells,passes_positive_all,passes_drawdown_20pct,practical_gate_passed
C1_IV_X,30,0.08800517940501562,0.871414551514557,1.0470211493061603,-0.1576768981929032,6,6,True,True,True
C1_EW_X,30,0.06648587699377129,0.8447847061093743,0.8998542504240673,-0.16638467081660913,6,6,True,True,True
C1_IV_X,20,0.0503453826864213,0.6472133909082984,1.1497410187306834,-0.16374728273794992,6,6,True,True,True
C1_IV_X,40,0.04242514529237007,0.6185399014093719,0.7377678387961573,-0.16963346095223863,6,6,True,True,True
C1_NMV_X,20,0.0432945603159014,0.6164640216863211,1.0372961857198868,-0.19432351821350546,6,6,True,True,True
C1_NMVT_X,20,0.04191000030335279,0.6113830271372127,0.9563725460408464,-0.19239788129579782,6,6,True,True,True
C1_EW_X,20,0.047971557279746335,0.5357978471486282,1.0487265521048137,-0.17284495159164937,6,6,True,True,True
C1_EW_X,40,0.03307244205379134,0.4745437638522631,0.6368662457452016,-0.18142193904365667,6,6,True,True,True
C1_NMVT_X,30,0.033077819134543995,0.42287737961797434,0.7108161143713937,-0.1910305210209603,6,6,True,True,True
C1_NMV_X,30,0.022496934545826353,0.2794003323203574,0.7201077259053532,-0.19295101963521843,6,6,True,True,True
C2_IV_X,40,0.01776360517738773,0.26355422044294846,0.42196284378235077,-0.16847477988679005,6,6,True,True,True
C2_IV_X,30,0.018070451160679957,0.24991030700879044,0.577466480728144,-0.1538662687091854,6,6,True,True,True
C3_NMVT_M,30,0.010858187322749124,0.07877314378786679,0.36774464871234963,-0.17732617519869942,6,6,True,True,True
C3_IV_M,30,0.004508590859054751,0.05817303369252859,0.526338786796731,-0.15225668429257588,6,6,True,True,True
C3_NMV_M,30,0.0008379323651450665,0.01070334837164097,0.497702942466652,-0.17732617519869942,6,6,True,True,True
C2_NMV_X,30,0.009314935371668609,0.12223073564743363,0.5557848951706669,-0.25582336911998016,6,6,True,False,False
C2_NMV_X,20,0.009078026154371255,0.11365428891380942,0.8084491025442847,-0.25582336911998016,6,6,True,False,False
C2_NMVT_X,20,0.00035251329319208047,0.005326616825628795,0.7834659975147026,-0.23143809988992525,6,6,True,False,False
C3_EW_M,30,-0.0023367634038811147,-0.011247900848701553,0.4475137725437856,-0.16455978474262223,3,6,False,True,False
C2_EW_X,30,-0.0029782910151908704,-0.03967841555841513,0.4176305316134022,-0.1963695350514676,5,6,False,True,False
C2_EW_X,40,-0.009667145376482722,-0.04588416688490422,0.2668525555398781,-0.2079453184438872,3,6,False,False,False
C2_NMVT_X,30,-0.005331518521786038,-0.0703376135671801,0.48661854690579404,-0.23143809988992525,5,6,False,False,False
C3_IV_M,40,-0.005413854255118311,-0.07858973346706823,0.3502630615337377,-0.15631494464657703,4,6,False,True,False
C2_EW_M,40,-0.005768602517998378,-0.0871471558204227,0.3067097769218137,-0.1533020862185609,4,6,False,True,False
C3_IV_X,30,-0.015272511334654237,-0.20013521789172348,0.4583217001876598,-0.17286039834836986,5,6,False,True,False
C3_NMVT_M,40,-0.03412628987068034,-0.2075551707099678,0.14817354444550665,-0.19663477684045616,2,6,False,True,False
C2_EW_M,30,-0.016080828187698182,-0.21311943121492863,0.3533992347404829,-0.1505088971576406,4,6,False,True,False
C2_IV_M,30,-0.01563588032538421,-0.2183729047216774,0.4344056463460562,-0.1337524975255776,4,6,False,True,False
C1_NMVT_X,40,-0.015925735636607263,-0.21959224205249417,0.3820873509784514,-0.18803985758653818,4,6,False,True,False
C2_IV_M,40,-0.013959213747786747,-0.21971365532437936,0.33764866163173624,-0.13904756256375317,4,6,False,True,False
C2_NMV_X,40,-0.016258547764270492,-0.22296649308782054,0.27088042493222503,-0.25582336911998016,4,6,False,False,False
C3_NMV_M,40,-0.027484938093455535,-0.25170442529626386,0.30631431957802174,-0.1959068076145558,2,6,False,True,False
C2_NMVT_M,0,-0.11270921837444958,-0.2655979620549696,0.5341189253318023,-0.42239058826188147,4,6,False,False,False
C3_NMVT_M,20,-0.05461823145072431,-0.2702741050885811,0.49851005329578674,-0.18761240155616954,2,6,False,True,False
C3_NMV_M,20,-0.048331609250561125,-0.2932376050421232,0.6738805828623043,-0.18677867568307993,2,6,False,True,False
C3_EW_M,40,-0.05968614962533081,-0.30362037203087333,0.24977623948617764,-0.17443170500553729,2,6,False,True,False
C2_IV_X,20,-0.019379410837182864,-0.31035329673577344,0.6674764242508716,-0.1538662687091854,4,6,False,True,False
C1_NMVT_M,0,-0.13647797325569389,-0.311552135831027,0.40020613160305,-0.47576069678441735,4,6,False,False,False
C1_EW_M,0,-0.13589122570905643,-0.3237591369403937,0.3855277766496521,-0.4616836556906785,4,6,False,False,False
C2_EW_X,20,-0.051620512361750914,-0.3308872421391088,0.5082414140564538,-0.1963695350514676,3,6,False,True,False
C3_IV_X,40,-0.023806718893161327,-0.3315776795871477,0.2550540079493891,-0.19480273671653026,3,6,False,True,False
C1_IV_M,0,-0.13728416382716602,-0.33232207030446403,0.4086570617835124,-0.47570863608499314,4,6,False,False,False
C2_NMVT_X,40,-0.02455340803645112,-0.33828729402329655,0.2340294033957887,-0.23143809988992525,4,6,False,False,False
C1_NMV_X,40,-0.02804109641244512,-0.3720429697454868,0.38905957743451264,-0.1900467785826221,4,6,False,True,False
C1_NMV_M,0,-0.16472094512477797,-0.3740285463888839,0.36436397339584053,-0.5034105999823704,2,6,False,False,False
