fold,method,backend,energy,feasibility_rate,turnover,reduction_backend
0,AUR,xy_feasible_subspace_statevector_surrogate,-1.1877046906643054,1.0,0.49999999999999994,adaptive_greedy
0,QAUR,xy_feasible_subspace_statevector_surrogate,-1.8617962586138923,1.0,0.49999999999999994,cardinality_preserving_classical_surrogate
1,AUR,xy_feasible_subspace_statevector_surrogate,3.2010608037929726,1.0,1.0,adaptive_greedy
1,QAUR,xy_feasible_subspace_statevector_surrogate,3.5298377852773846,1.0,0.9999999999999999,cardinality_preserving_classical_surrogate
2,AUR,xy_feasible_subspace_statevector_surrogate,1.9162363922842065,1.0,0.5500000000000002,adaptive_greedy
2,QAUR,xy_feasible_subspace_statevector_surrogate,1.9162363922842065,1.0,0.6,cardinality_preserving_classical_surrogate
3,AUR,xy_feasible_subspace_statevector_surrogate,-0.09319815739576943,1.0,0.9999999999999999,adaptive_greedy
3,QAUR,xy_feasible_subspace_statevector_surrogate,-0.056297461165483564,1.0,1.0000000000000002,cardinality_preserving_classical_surrogate
4,AUR,xy_feasible_subspace_statevector_surrogate,-2.751954861739999,1.0,0.8,adaptive_greedy
4,QAUR,xy_feasible_subspace_statevector_surrogate,-3.0910903600059405,1.0,0.6488766773442735,cardinality_preserving_classical_surrogate
5,AUR,xy_feasible_subspace_statevector_surrogate,-0.49763045790281757,1.0,0.9294169337829458,adaptive_greedy
5,QAUR,xy_feasible_subspace_statevector_surrogate,-0.49763045790281757,1.0,0.929416933782946,cardinality_preserving_classical_surrogate
6,AUR,xy_feasible_subspace_statevector_surrogate,-2.5633146113488667,1.0,0.9500000000000001,adaptive_greedy
6,QAUR,xy_feasible_subspace_statevector_surrogate,-2.565471722941483,1.0,0.9499999999999996,cardinality_preserving_classical_surrogate
7,AUR,xy_feasible_subspace_statevector_surrogate,-2.603531891709996,1.0,0.8999999999999997,adaptive_greedy
7,QAUR,xy_feasible_subspace_statevector_surrogate,-2.603531891709996,1.0,0.8999999999999991,cardinality_preserving_classical_surrogate
8,AUR,xy_feasible_subspace_statevector_surrogate,4.621147059285809,1.0,0.8500000000000003,adaptive_greedy
8,QAUR,xy_feasible_subspace_statevector_surrogate,4.621147059285809,1.0,0.8500000000000003,cardinality_preserving_classical_surrogate
9,AUR,xy_feasible_subspace_statevector_surrogate,-3.7587419884468307,1.0,1.0,adaptive_greedy
9,QAUR,xy_feasible_subspace_statevector_surrogate,-3.7587419884468307,1.0,1.0,cardinality_preserving_classical_surrogate
10,AUR,xy_feasible_subspace_statevector_surrogate,-2.780888987126134,1.0,0.46722781259934915,adaptive_greedy
10,QAUR,xy_feasible_subspace_statevector_surrogate,-2.780888987126134,1.0,0.46722781259934915,cardinality_preserving_classical_surrogate
11,AUR,xy_feasible_subspace_statevector_surrogate,-0.46753438847161005,1.0,0.8567336765666219,adaptive_greedy
11,QAUR,xy_feasible_subspace_statevector_surrogate,-0.46753438847161005,1.0,0.8567336765666219,cardinality_preserving_classical_surrogate
